equipo_id,codigo_patrimonial,tipo_equipo,marca,modelo,ram_gb,almacenamiento_gb,tipo_disco,antiguedad_meses,estado_conservacion,estado_operativo,area_id,area_nombre,total_mantenimientos,correctivos_12m,preventivos_12m,dias_desde_ultimo_mantenimiento,severidad_max_historica,fallas_altas_criticas_12m,nivel_riesgo,score_riesgo
9191,990000009191,CPU,Lenovo,Model-612,4.0,512.0,SSD,31,Regular,Operativo,10,Tecnología de la Información,1,0,1,293.0,1,0,Medio,40.0
9192,990000009192,CPU,Asus,Model-219,32.0,512.0,HDD,21,Nuevo,Operativo,14,Dirección General,2,2,0,29.0,2,0,Bajo,15.0
9193,990000009193,Laptop,Asus,Model-837,4.0,1024.0,SSD,47,Regular,Operativo,12,Contabilidad,4,2,0,282.0,1,0,Medio,40.0
9194,990000009194,Laptop,HP,Model-991,32.0,256.0,HDD,36,Bueno,Operativo,14,Dirección General,1,1,0,108.0,1,0,Bajo,15.0
9195,990000009195,Monitor,Dell,Model-507,,,,31,Bueno,Operativo,13,Logística,4,0,1,177.0,2,0,Bajo,15.0
9196,990000009196,CPU,Lenovo,Model-382,8.0,512.0,SSD,13,Malo,Dañado,13,Logística,7,2,4,17.0,4,2,Critico,90.0
9197,990000009197,Impresora,HP,Model-187,,,,52,Bueno,Operativo,10,Tecnología de la Información,1,1,0,105.0,1,0,Medio,40.0
9198,990000009198,CPU,HP,Model-476,32.0,256.0,NVMe,19,Bueno,Operativo,11,Recursos Humanos,0,0,0,,0,0,Bajo,15.0
9199,990000009199,Laptop,HP,Model-508,32.0,1024.0,HDD,16,Regular,Operativo,10,Tecnología de la Información,5,0,3,15.0,3,0,Medio,40.0
9200,990000009200,Monitor,Acer,Model-623,,,,27,Bueno,Operativo,10,Tecnología de la Información,3,0,2,183.0,3,0,Bajo,15.0
